Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,GWG,S,S%,TOI/GP,FOW%
David Oliver,20032004,DAL,R,R,36,7,5,12,6,12,0.33,4,9,3,3,0,0,1,30,23.3,9:51,100
Michael Danton,20032004,STL,R,C,68,7,5,12,-8,141,0.18,6,9,0,2,1,1,0,72,9.7,11:57,28.1
Mike Rupp,20032004,"NJD,PHX",L,L,57,6,6,12,-4,47,0.21,5,10,1,2,0,0,1,76,7.9,11:18,49.8
Chris Taylor,20032004,BUF,L,C,54,6,6,12,-2,22,0.22,6,12,0,0,0,0,0,50,12,10:10,51
Joel Kwiatkowski,20032004,WSH,L,D,80,6,6,12,-28,89,0.15,4,9,2,3,0,0,0,90,6.7,21:16,--
Marty Murray,20032004,CAR,L,C,66,5,7,12,6,8,0.18,5,10,0,1,0,1,0,56,8.9,11:49,52.8
Steve Moore,20032004,COL,R,C,57,5,7,12,-5,37,0.21,5,11,0,0,0,1,1,52,9.6,13:06,40.3
David Tanabe,20032004,PHX,R,D,45,5,7,12,4,22,0.27,3,6,2,6,0,0,2,88,5.7,23:02,--
Andrei Nikolishin,20032004,COL,L,C,49,5,7,12,3,24,0.24,4,9,1,2,0,1,0,71,7,16:17,58.1
Jason Ward,20032004,MTL,R,R,53,5,7,12,3,21,0.23,3,8,2,3,0,1,1,56,8.9,12:39,41.8
Craig Rivet,20032004,MTL,R,D,80,4,8,12,-1,98,0.15,2,9,2,3,0,0,1,96,4.2,19:28,--
Andreas Dackell,20032004,MTL,R,R,60,4,8,12,8,10,0.2,4,10,0,0,0,2,0,50,8,15:21,25
Jason Chimera,20032004,EDM,L,L,60,4,8,12,-1,57,0.2,4,11,0,1,0,0,1,79,5.1,10:07,31.8
Mathieu Dandenault,20032004,DET,R,R,65,3,9,12,9,40,0.18,2,10,0,1,1,1,0,68,4.4,13:47,0
Scott Stevens,20032004,NJD,L,D,38,3,9,12,3,22,0.32,2,10,1,1,0,1,1,68,4.4,24:01:00,--
Steve Ott,20032004,DAL,L,C,73,2,10,12,-2,152,0.16,2,10,0,2,0,0,1,74,2.7,10:14,49.1
Shaun Van Allen,20032004,OTT,L,C,73,2,10,12,6,80,0.16,1,10,0,0,1,2,0,41,4.9,11:29,52.3
Brendan Witt,20032004,WSH,L,D,72,2,10,12,-22,123,0.17,2,11,0,0,0,1,0,91,2.2,22:48,66.7
Eric Desjardins,20032004,PHI,R,D,48,1,11,12,11,28,0.25,1,8,0,3,0,1,0,92,1.1,22:29,0
Christian Ehrhoff,20032004,SJS,L,D,41,1,11,12,4,14,0.29,1,8,0,4,0,0,1,58,1.7,15:23,--
Jamal Mayers,20032004,STL,R,R,80,6,5,11,-19,91,0.14,5,9,0,0,1,2,3,130,4.6,13:01,48.6
Ted Donato,20032004,BOS,L,L,63,6,5,11,2,18,0.17,3,6,0,0,3,5,1,35,17.1,9:16,49
Trent Whitfield,20032004,WSH,L,C,44,6,5,11,-2,14,0.25,5,10,0,0,1,1,2,38,15.8,12:48,55.4
Darren McCarty,20032004,DET,R,R,43,6,5,11,2,50,0.26,5,10,1,1,0,0,0,61,9.8,12:20,50.4
Josh Green,20032004,"CGY,NYR",L,C,50,5,6,11,-3,32,0.22,5,11,0,0,0,0,1,76,6.6,12:08,35.4
Byron Ritchie,20032004,FLA,L,C,50,5,6,11,-10,84,0.22,5,10,0,0,0,1,2,65,7.7,13:54,48.8
Scott Barney,20032004,LAK,R,C,19,5,6,11,3,4,0.58,3,8,2,3,0,0,0,31,16.1,11:12,14.3
Brad May,20032004,VAN,L,L,70,5,6,11,-2,137,0.16,5,10,0,1,0,0,0,75,6.7,8:56,50
Ryan Johnson,20032004,STL,L,C,69,4,7,11,-2,8,0.16,3,9,0,0,1,2,1,36,11.1,9:54,53.6
James Patrick,20032004,BUF,R,D,55,4,7,11,11,12,0.2,4,10,0,1,0,0,1,44,9.1,18:59,--
Igor Radulov,20032004,CHI,L,L,36,4,7,11,-2,18,0.31,4,10,0,1,0,0,0,47,8.5,12:15,--
Bates Battaglia,20032004,"COL,WSH",L,L,70,4,7,11,-24,42,0.16,4,10,0,1,0,0,1,70,5.7,13:29,33.3
Eric Daze,20032004,CHI,L,L,19,4,7,11,-7,0,0.58,3,7,1,4,0,0,0,76,5.3,18:56,0
Deron Quint,20032004,CHI,L,D,51,4,7,11,-26,18,0.22,2,8,2,3,0,0,0,72,5.6,18:08,--
Rory Fitzpatrick,20032004,BUF,R,D,60,4,7,11,-5,44,0.18,2,7,2,4,0,0,2,78,5.1,19:02,100
Dan Hinote,20032004,COL,R,R,59,4,7,11,-6,57,0.19,2,9,0,0,2,2,0,53,7.5,12:42,48.3
Mark Mowers,20032004,DET,R,R,52,3,8,11,3,4,0.21,2,10,1,1,0,0,1,48,6.3,10:27,47.8
Esa Pirnes,20032004,LAK,L,C,57,3,8,11,-9,12,0.19,2,9,0,1,1,1,0,57,5.3,11:45,45.4
Brian Campbell,20032004,BUF,L,D,53,3,8,11,-8,12,0.21,3,10,0,1,0,0,0,45,6.7,16:02,--
Alexander Svitov,20032004,"TBL,CBJ",L,C,40,2,9,11,-8,20,0.28,2,10,0,1,0,0,0,52,3.9,11:43,46.2
Jason Doig,20032004,WSH,R,D,65,2,9,11,-12,105,0.17,2,11,0,0,0,0,0,59,3.4,19:09,--
Craig Johnson,20032004,"ANA,TOR,WSH",L,L,64,2,9,11,-10,28,0.17,2,11,0,0,0,0,0,77,2.6,12:32,54.8
Marc Bergevin,20032004,"PIT,VAN",L,D,61,1,10,11,-6,29,0.18,1,11,0,0,0,0,0,30,3.3,16:02,--
Sean O'Donnell,20032004,BOS,L,D,82,1,10,11,10,110,0.13,1,7,0,0,0,4,0,72,1.4,20:36,33.3
Igor Larionov,20032004,NJD,L,C,49,1,10,11,3,20,0.22,1,6,0,5,0,0,0,25,4,12:06,50.6
Don Sweeney,20032004,DAL,L,D,63,0,11,11,22,18,0.17,0,10,0,0,0,1,0,39,0,15:53,--
Eric Chouinard,20032004,"PHI,MIN",L,C,48,6,4,10,-10,6,0.21,6,9,0,1,0,0,1,60,10,11:37,45.3
Landon Wilson,20032004,"PHX,PIT",R,R,54,6,4,10,-3,47,0.19,4,8,2,2,0,0,0,76,7.9,10:22,30.4
Eric Boguniecki,20032004,STL,R,C,27,6,4,10,-1,20,0.37,4,7,2,3,0,0,2,40,15,14:42,0
Vaclav Varada,20032004,OTT,L,R,30,5,5,10,2,26,0.33,5,10,0,0,0,0,1,47,10.6,14:21,35.7
Shayne Corson,20032004,DAL,L,L,17,5,5,10,12,29,0.59,4,9,0,0,1,1,1,21,23.8,13:31,43.5
Krys Kolanos,20032004,PHX,R,C,41,4,6,10,-9,24,0.24,3,6,1,4,0,0,1,61,6.6,13:31,43.8
Mike Fisher,20032004,OTT,R,C,24,4,6,10,-3,39,0.42,3,9,1,1,0,0,0,47,8.5,17:26,42
Eric Meloche,20032004,PIT,R,R,25,3,7,10,-6,20,0.4,3,8,0,0,0,2,0,28,10.7,14:47,39.1
Alexander Khavanov,20032004,STL,L,D,48,3,7,10,2,18,0.21,1,6,2,4,0,0,0,62,4.8,19:20,0
Niclas Wallin,20032004,CAR,L,D,57,3,7,10,-8,51,0.18,3,8,0,1,0,1,0,74,4,18:40,--
Ivan Majesky,20032004,ATL,R,D,63,3,7,10,-7,76,0.16,3,10,0,0,0,0,0,35,8.6,14:28,50
Ben Clymer,20032004,TBL,R,R,66,2,8,10,5,50,0.15,2,10,0,0,0,0,0,96,2.1,9:48,28
Jamie Lundmark,20032004,NYR,R,C,56,2,8,10,-8,33,0.18,2,8,0,2,0,0,1,68,2.9,12:46,40.4
Yannick Tremblay,20032004,ATL,R,D,38,2,8,10,-13,13,0.26,1,7,1,3,0,0,1,47,4.3,21:36,50
Ben Clymer,20032004,TBL,R,R,66,2,8,10,5,50,0.15,2,10,0,0,0,0,0,96,2.1,9:48,28
Chris Therien,20032004,"PHI,DAL",L,D,67,1,9,10,6,52,0.15,1,9,0,0,0,1,0,68,1.5,18:28,0
Mike Johnson,20032004,PHX,R,R,11,1,9,10,-1,10,0.91,0,5,1,5,0,0,0,17,5.9,19:50,50
Brooks Orpik,20032004,PIT,L,D,79,1,9,10,-36,127,0.13,1,6,0,1,0,3,0,56,1.8,18:25,--
Darius Kasparaitis,20032004,NYR,L,D,44,1,9,10,11,48,0.23,1,10,0,0,0,0,0,29,3.5,16:23,--
Henrik Tallinder,20032004,BUF,L,D,72,1,9,10,5,26,0.14,1,10,0,0,0,0,0,63,1.6,18:23,0
Garnet Exelby,20032004,ATL,L,D,71,1,9,10,-10,134,0.14,1,9,0,0,0,1,0,42,2.4,19:32,--
Jeremy Stevenson,20032004,"MIN,NSH",L,L,56,5,4,9,-3,105,0.16,2,6,3,3,0,0,0,67,7.5,10:07,50
Christian Berglund,20032004,"NJD,FLA",L,L,33,5,4,9,-6,14,0.27,5,9,0,0,0,0,0,50,10,11:34,31.3
Rickard Wallin,20032004,MIN,L,C,15,5,4,9,1,14,0.6,2,6,3,3,0,0,1,16,31.3,14:20,45.5
Todd Harvey,20032004,SJS,R,R,47,4,5,9,3,38,0.19,4,9,0,0,0,0,0,51,7.8,9:46,44.8
Rob Zamuner,20032004,BOS,L,L,57,4,5,9,3,16,0.16,4,9,0,0,0,0,0,49,8.2,9:43,50
Christoph Brandner,20032004,MIN,L,L,35,4,5,9,-2,8,0.26,3,6,1,3,0,0,0,50,8,13:20,50
Mikael Samuelsson,20032004,FLA,R,R,37,3,6,9,0,35,0.24,3,8,0,1,0,0,1,50,6,12:15,28.6
Martin Cibak,20032004,TBL,L,C,63,2,7,9,-1,30,0.14,2,9,0,0,0,0,0,44,4.5,7:35,45.2
Aki Berg,20032004,TOR,L,D,79,2,7,9,-1,40,0.11,2,8,0,1,0,0,0,69,2.9,18:18,0
Hal Gill,20032004,BOS,L,D,82,2,7,9,16,99,0.11,2,9,0,0,0,0,0,104,1.9,18:24,--
Milan Bartovic,20032004,BUF,L,R,23,1,8,9,1,18,0.39,1,9,0,0,0,0,0,30,3.3,12:53,100
Derrick Walser,20032004,CBJ,L,D,27,1,8,9,-6,22,0.33,0,3,1,6,0,0,0,35,2.9,18:23,--
Mario Lemieux,20032004,PIT,R,C,10,1,8,9,-2,6,0.9,1,5,0,4,0,0,0,21,4.8,22:24,49.1
Matt Johnson,20032004,MIN,L,L,57,7,1,8,4,177,0.14,7,8,0,0,0,0,1,21,33.3,6:27,33.3
Pavel Brendl,20032004,CAR,R,R,18,5,3,8,0,8,0.44,4,6,1,2,0,0,1,27,18.5,14:48,0
Claude Lapointe,20032004,PHI,L,C,42,5,3,8,2,32,0.19,4,7,0,0,1,1,1,26,19.2,11:04,51.7
Petr Schastlivy,20032004,"OTT,ANA",L,L,65,4,4,8,-4,18,0.12,3,7,1,1,0,0,2,85,4.7,10:09,46.1
Jordin Tootoo,20032004,NSH,R,R,70,4,4,8,-6,137,0.11,2,5,2,3,0,0,0,92,4.3,8:29,55.5
Andrew Hutchinson,20032004,NSH,R,D,18,4,4,8,1,4,0.44,2,4,2,4,0,0,1,24,16.7,16:43,--
Todd Simpson,20032004,"ANA,OTT",L,D,62,4,4,8,-7,152,0.13,4,8,0,0,0,0,0,52,7.7,14:19,0
Josef Melichar,20032004,PIT,L,D,82,3,5,8,-17,62,0.1,3,7,0,0,0,1,0,78,3.9,19:01,--
Stephane Quintal,20032004,MTL,R,D,73,3,5,8,10,82,0.11,3,8,0,0,0,0,0,86,3.5,20:38,--
Tyson Nash,20032004,PHX,L,L,69,3,5,8,-6,110,0.12,3,7,0,0,0,1,0,83,3.6,11:53,38.5
Aaron Ward,20032004,CAR,R,D,49,3,5,8,1,37,0.16,1,6,2,2,0,0,0,51,5.9,17:52,--
Bryce Salvador,20032004,STL,L,D,69,3,5,8,-4,47,0.12,3,7,0,1,0,0,1,60,5,17:29,--
Brian Pothier,20032004,OTT,L,D,55,2,6,8,6,24,0.15,1,5,1,3,0,0,1,78,2.6,16:43,--
Marty Reasoner,20032004,EDM,L,C,17,2,6,8,5,10,0.47,1,5,0,1,1,2,0,28,7.1,16:30,52.6
Aaron Johnson,20032004,CBJ,L,D,29,2,6,8,-2,32,0.28,2,8,0,0,0,0,1,33,6.1,15:02,--
Eric Cairns,20032004,NYI,L,D,72,2,6,8,-5,189,0.11,2,8,0,0,0,0,0,24,8.3,11:44,--
Joel Bouchard,20032004,NYR,L,D,28,1,7,8,2,10,0.29,1,7,0,1,0,0,0,34,2.9,16:42,--
Mikhail Yakubov,20032004,CHI,L,C,30,1,7,8,-12,8,0.27,1,6,0,2,0,0,0,32,3.1,13:44,45.7
Shaone Morrisonn,20032004,"BOS,WSH",L,D,33,1,7,8,10,10,0.24,1,8,0,0,0,0,0,14,7.1,18:14,--
Alexander Karpovtsev,20032004,"CHI,NYI",L,D,27,0,8,8,-16,18,0.3,0,4,0,4,0,0,0,34,0,18:55,--
Jesse Boulerice,20032004,CAR,R,R,76,6,1,7,-5,127,0.09,6,7,0,0,0,0,0,46,13,6:32,--
Dan Lacouture,20032004,NYR,L,L,59,5,2,7,-13,82,0.12,4,6,1,1,0,0,1,39,12.8,9:29,50
Patrick Sharp,20032004,PHI,R,L,41,5,2,7,-3,55,0.17,5,7,0,0,0,0,1,44,11.4,9:56,46.7
Vaclav Nedorost,20032004,FLA,L,C,32,4,3,7,-6,12,0.22,2,5,2,2,0,0,0,38,10.5,11:32,42.1
Radek Martinek,20032004,NYI,R,D,47,4,3,7,-9,43,0.15,4,7,0,0,0,0,1,48,8.3,13:03,--
Andreas Lilja,20032004,FLA,L,D,79,3,4,7,-8,90,0.09,3,6,0,0,0,1,0,79,3.8,19:34,0
Brad Chartrand,20032004,LAK,R,R,53,3,4,7,-3,30,0.13,2,6,0,0,1,1,0,63,4.8,11:36,54.1
Jamie Rivers,20032004,DET,L,D,50,3,4,7,9,41,0.14,3,7,0,0,0,0,0,31,9.7,10:14,0
Travis Brigley,20032004,COL,L,L,36,3,4,7,0,10,0.19,2,6,1,1,0,0,0,39,7.7,11:52,43.4
Ivan Novoseltsev,20032004,"FLA,PHX",L,R,34,3,4,7,-13,14,0.21,3,6,0,1,0,0,0,48,6.3,11:03,66.7
Patrick Boileau,20032004,PIT,R,D,16,3,4,7,-16,8,0.44,0,2,3,5,0,0,0,41,7.3,19:52,--
Jon Klemm,20032004,"CHI,DAL",R,D,77,2,5,7,16,44,0.09,2,6,0,0,0,1,1,71,2.8,17:19,0
Keith Carney,20032004,ANA,L,D,69,2,5,7,-5,42,0.1,1,5,1,2,0,0,0,58,3.5,21:43,--
Bryan Allen,20032004,VAN,L,D,74,2,5,7,-10,94,0.09,2,7,0,0,0,0,0,70,2.9,16:51,--
Mattias Timander,20032004,"NYI,PHI",L,D,39,2,5,7,15,21,0.18,1,6,0,0,1,1,1,46,4.3,17:56,--
Fedor Tyutin,20032004,NYR,L,D,25,2,5,7,-4,14,0.28,1,5,0,1,1,1,0,33,6.1,20:08,0
Andy Delmore,20032004,BUF,R,D,37,2,5,7,-5,29,0.19,0,4,2,3,0,0,0,40,5,15:11,--
Jassen Cullimore,20032004,TBL,L,D,79,2,5,7,8,58,0.09,2,7,0,0,0,0,1,78,2.6,19:02,--
Chris Tamer,20032004,ATL,L,D,38,2,5,7,-9,55,0.18,2,7,0,0,0,0,1,40,5,17:58,--
Lukas Krajicek,20032004,FLA,L,D,18,1,6,7,-2,12,0.39,0,2,1,5,0,0,0,16,6.3,13:32,--
Jason Marshall,20032004,"MIN,SJS",R,D,24,1,6,7,-3,26,0.29,0,3,1,4,0,0,0,30,3.3,15:48,--
Sven Butenschon,20032004,NYI,L,D,41,1,6,7,-3,30,0.17,1,6,0,0,0,1,0,17,5.9,11:15,--
Duvie Westcott,20032004,CBJ,R,D,34,0,7,7,-15,39,0.21,0,4,0,3,0,0,0,43,0,21:11,--
Tim Gleason,20032004,LAK,L,D,47,0,7,7,1,21,0.15,0,7,0,0,0,0,0,45,0,14:59,--
Shane Hnidy,20032004,"OTT,NSH",R,D,46,0,7,7,5,82,0.15,0,7,0,0,0,0,0,28,0,12:40,--
Branislav Mezei,20032004,FLA,L,D,45,0,7,7,-4,80,0.16,0,7,0,0,0,0,0,26,0,17:43,--
Travis Moen,20032004,CHI,L,L,82,4,2,6,-17,142,0.07,4,6,0,0,0,0,2,51,7.8,10:57,15.8
Ryan Bayda,20032004,CAR,L,L,44,3,3,6,-14,22,0.14,3,6,0,0,0,0,1,65,4.6,10:57,0
Jason Holland,20032004,LAK,R,D,52,3,3,6,5,24,0.12,3,5,0,0,0,1,1,64,4.7,17:41,--
Jody Shelley,20032004,CBJ,L,L,76,3,3,6,-10,228,0.08,2,5,1,1,0,0,0,62,4.8,7:14,0
Chad Kilger,20032004,"MTL,TOR",L,L,41,3,3,6,4,16,0.15,3,5,0,1,0,0,1,35,8.6,10:39,47.4
Alex Henry,20032004,MIN,L,D,71,2,4,6,4,106,0.08,2,6,0,0,0,0,0,37,5.4,14:53,0
Ossi Vaananen,20032004,"PHX,COL",L,D,79,2,4,6,-14,89,0.08,2,6,0,0,0,0,1,45,4.4,19:14,--
Jed Ortmeyer,20032004,NYR,R,R,58,2,4,6,-10,16,0.1,2,6,0,0,0,0,0,48,4.2,9:52,31.3
Eric Beaudoin,20032004,FLA,L,L,30,2,4,6,-6,12,0.2,2,6,0,0,0,0,0,30,6.7,10:19,30.8
Burke Henry,20032004,CHI,L,D,23,2,4,6,0,24,0.26,2,6,0,0,0,0,0,31,6.5,17:02,--
John Tripp,20032004,LAK,R,R,34,1,5,6,-4,33,0.18,1,6,0,0,0,0,0,45,2.2,8:05,100
Kurt Sauer,20032004,"ANA,COL",L,D,69,1,5,6,-11,51,0.09,1,5,0,0,0,1,0,44,2.3,16:32,--
Scott Ferguson,20032004,EDM,L,D,52,1,5,6,-5,80,0.12,1,6,0,0,0,0,1,38,2.6,13:21,--
Boyd Gordon,20032004,WSH,R,C,41,1,5,6,-9,8,0.15,1,6,0,0,0,0,0,42,2.4,13:11,43
Trevor Daley,20032004,DAL,L,D,27,1,5,6,-6,14,0.22,0,2,1,4,0,0,0,34,2.9,16:02,--
Murray Baron,20032004,STL,L,D,80,1,5,6,-6,61,0.07,1,6,0,0,0,0,0,57,1.8,19:14,--
Chris Dingman,20032004,TBL,L,L,74,1,5,6,-9,140,0.08,1,6,0,0,0,0,0,65,1.5,8:16,30
Niko Kapanen,20032004,DAL,L,C,67,1,5,6,-15,16,0.09,1,6,0,0,0,0,0,57,1.8,11:30,47.7
Brent Burns,20032004,MIN,R,D,36,1,5,6,-10,12,0.17,1,4,0,2,0,0,0,34,2.9,13:29,28.6
Luke Richardson,20032004,CBJ,L,D,64,1,5,6,-11,48,0.09,1,5,0,0,0,1,1,34,2.9,20:07,--
Glen Wesley,20032004,CAR,L,D,74,0,6,6,18,32,0.08,0,5,0,1,0,0,0,82,0,21:22,--
Rick Berry,20032004,WSH,L,D,65,0,6,6,-5,108,0.09,0,6,0,0,0,0,0,43,0,12:11,50
Calle Johansson,20032004,TOR,L,D,8,0,6,6,5,0,0.75,0,4,0,2,0,0,0,8,0,17:28,--
Shane Willis,20032004,TBL,R,R,12,0,6,6,1,2,0.5,0,5,0,1,0,0,0,27,0,13:50,0
Chris Kunitz,20032004,ANA,L,L,21,0,6,6,1,12,0.29,0,6,0,0,0,0,0,31,0,9:07,14.3
Craig MacDonald,20032004,"FLA,BOS",L,C,52,0,6,6,-5,33,0.12,0,6,0,0,0,0,0,59,0,11:12,46.1
Stephen Peat,20032004,WSH,R,R,64,5,0,5,-10,90,0.08,5,5,0,0,0,0,0,21,23.8,6:38,0
Ryan Vandenbussche,20032004,CHI,R,R,65,4,1,5,-10,120,0.08,2,3,2,2,0,0,0,25,16,6:16,--
Sandy McCarthy,20032004,"BOS,NYR",R,R,50,4,1,5,-8,30,0.1,3,4,1,1,0,0,1,38,10.5,7:18,0
Michal Grosek,20032004,BOS,R,L,33,3,2,5,1,33,0.15,3,5,0,0,0,0,0,24,12.5,6:14,51.2
Jean-Luc Grand-Pierre,20032004,"CBJ,ATL,WSH",R,D,56,3,2,5,-12,52,0.09,2,4,0,0,1,1,0,53,5.7,12:14,40
Krzysztof Oliwa,20032004,CGY,L,L,65,3,2,5,-8,247,0.08,3,5,0,0,0,0,0,32,9.4,4:56,20
Ramzi Abid,20032004,PIT,L,L,16,3,2,5,-5,27,0.31,1,1,2,4,0,0,1,35,8.6,12:56,0
Jay McKee,20032004,BUF,L,D,43,2,3,5,6,41,0.12,2,5,0,0,0,0,1,29,6.9,17:44,--
Ryan Kesler,20032004,VAN,R,C,28,2,3,5,-2,16,0.18,2,5,0,0,0,0,0,23,8.7,10:42,40.2
Matt Keith,20032004,CHI,R,R,20,2,3,5,-5,10,0.25,1,4,1,1,0,0,0,21,9.5,11:58,100
Darby Hendrickson,20032004,"MIN,COL",L,C,34,2,3,5,-15,12,0.15,2,5,0,0,0,0,0,35,5.7,13:24,53.4
Dan Focht,20032004,PIT,L,D,52,2,3,5,-23,105,0.1,2,5,0,0,0,0,0,56,3.6,16:36,--
Alexei Semenov,20032004,EDM,L,D,46,2,3,5,8,32,0.11,1,4,1,1,0,0,0,36,5.6,17:16,--
Tomas Zizka,20032004,LAK,L,D,15,2,3,5,-4,12,0.33,1,2,1,3,0,0,0,24,8.3,16:54,--
Cody McCormick,20032004,COL,R,C,44,2,3,5,-4,73,0.11,2,5,0,0,0,0,1,33,6.1,8:07,32.7
Dustin Brown,20032004,LAK,R,R,31,1,4,5,0,16,0.16,1,5,0,0,0,0,0,40,2.5,10:29,0
Curtis Leschyshyn,20032004,OTT,L,D,56,1,4,5,13,16,0.09,1,5,0,0,0,0,0,30,3.3,13:54,0
Ian Moran,20032004,BOS,R,D,35,1,4,5,3,28,0.14,1,5,0,0,0,0,0,54,1.9,18:45,100
Justin Mapletoft,20032004,NYI,L,C,27,1,4,5,-1,6,0.19,1,5,0,0,0,0,0,15,6.7,6:09,48.5
Todd Fedoruk,20032004,PHI,L,L,49,1,4,5,-4,136,0.1,1,5,0,0,0,0,1,33,3,6:47,--
Jozef Balej,20032004,"MTL,NYR",R,R,17,1,4,5,-1,4,0.29,1,4,0,1,0,0,0,29,3.5,12:59,33.3
Niklas Kronwall,20032004,DET,L,D,20,1,4,5,5,16,0.25,1,5,0,0,0,0,1,18,5.6,13:51,--
Todd Rohloff,20032004,"CBJ,WSH",L,D,59,0,5,5,-17,26,0.08,0,5,0,0,0,0,0,35,0,16:12,50
Brad Ference,20032004,PHX,R,D,63,0,5,5,-19,103,0.08,0,4,0,1,0,0,0,39,0,14:03,--
Bob Boughner,20032004,"CAR,COL",R,D,54,0,5,5,-10,88,0.09,0,4,0,0,0,1,0,34,0,14:31,--
Wyatt Smith,20032004,NSH,L,C,18,3,1,4,2,2,0.22,2,3,0,0,1,1,0,21,14.3,10:22,57
Peter Worrell,20032004,COL,L,L,49,3,1,4,2,179,0.08,3,4,0,0,0,0,0,32,9.4,5:55,0
Jaroslav Svoboda,20032004,CAR,L,L,33,3,1,4,3,6,0.12,3,4,0,0,0,0,1,27,11.1,9:08,33.3
Darcy Hordichuk,20032004,FLA,L,L,57,3,1,4,-10,158,0.07,3,4,0,0,0,0,1,27,11.1,6:46,50
Peter Sejna,20032004,STL,L,L,20,2,2,4,-9,4,0.2,0,0,2,4,0,0,0,36,5.6,14:58,42.9
Thomas Pock,20032004,NYR,L,D,6,2,2,4,-4,0,0.67,2,2,0,2,0,0,0,8,25,18:38,--
Steve Poapst,20032004,CHI,L,D,53,2,2,4,-16,26,0.08,2,4,0,0,0,0,1,55,3.6,22:15,0
Brad Larsen,20032004,"COL,ATL",L,L,32,2,2,4,0,13,0.13,2,4,0,0,0,0,0,23,8.7,8:49,53.3
Jim McKenzie,20032004,NSH,L,L,61,1,3,4,-13,88,0.07,1,3,0,1,0,0,0,10,10,6:14,66.7
Mark Hartigan,20032004,CBJ,L,C,9,1,3,4,-2,6,0.44,0,2,1,2,0,0,0,15,6.7,16:19,40.6
Nolan Pratt,20032004,TBL,L,D,58,1,3,4,11,42,0.07,1,3,0,0,0,1,0,35,2.9,16:25,--
Bryan Marchment,20032004,TOR,L,D,75,1,3,4,4,106,0.05,1,4,0,0,0,0,0,56,1.8,15:13,--
Tommy Albelin,20032004,NJD,L,D,45,1,3,4,7,4,0.09,1,3,0,1,0,0,0,27,3.7,14:48,--
Pavel Vorobiev,20032004,CHI,L,R,18,1,3,4,1,4,0.22,0,2,1,2,0,0,1,20,5,12:48,--
Pascal Rheaume,20032004,"NYR,STL",L,C,42,1,3,4,-6,9,0.1,1,4,0,0,0,0,0,38,2.6,10:12,50
Kelly Buchberger,20032004,PIT,L,R,71,1,3,4,-19,109,0.06,1,4,0,0,0,0,0,34,2.9,10:21,45.3
Steve McCarthy,20032004,CHI,L,D,25,1,3,4,-9,8,0.16,1,2,0,2,0,0,0,29,3.5,19:21,--
Scott Parker,20032004,SJS,R,R,50,1,3,4,0,101,0.08,1,4,0,0,0,0,0,20,5,6:37,40
Mark Smith,20032004,SJS,L,C,36,1,3,4,-5,72,0.11,1,4,0,0,0,0,0,31,3.2,8:22,50.2
Mike Green,20032004,"FLA,NYR",L,C,24,1,3,4,0,4,0.17,1,4,0,0,0,0,0,20,5,9:08,42.1
Jason Strudwick,20032004,CHI,L,D,54,1,3,4,-16,73,0.07,1,4,0,0,0,0,0,32,3.1,14:55,0
Mike Leclerc,20032004,ANA,L,L,10,1,3,4,-1,4,0.4,1,3,0,1,0,0,0,19,5.3,15:37,75
Jason Morgan,20032004,"CGY,NSH",L,C,19,0,4,4,1,4,0.21,0,4,0,0,0,0,0,20,0,9:51,48.7
Harold Druken,20032004,TOR,L,C,9,0,4,4,4,2,0.44,0,4,0,0,0,0,0,19,0,10:48,33.3
David Hale,20032004,NJD,L,D,65,0,4,4,12,72,0.06,0,4,0,0,0,0,0,45,0,15:01,--
Lance Ward,20032004,ANA,L,R,46,0,4,4,-1,94,0.09,0,4,0,0,0,0,0,26,0,8:41,--
Shawn Heins,20032004,ATL,L,D,17,0,4,4,-1,16,0.24,0,4,0,0,0,0,0,17,0,13:53,--
Mike Komisarek,20032004,MTL,R,D,46,0,4,4,4,34,0.09,0,4,0,0,0,0,0,40,0,12:00,--
Steve Eminger,20032004,WSH,R,D,41,0,4,4,-11,45,0.1,0,4,0,0,0,0,0,12,0,17:32,--
Scott Lachance,20032004,CBJ,L,D,77,0,4,4,-23,44,0.05,0,3,0,1,0,0,0,35,0,18:59,0
Espen Knutsen,20032004,CBJ,L,C,14,0,4,4,-5,2,0.29,0,2,0,1,0,1,0,11,0,15:28,51.2
Derian Hatcher,20032004,DET,L,D,15,0,4,4,4,8,0.27,0,3,0,1,0,0,0,18,0,19:38,--
Cam Severson,20032004,ANA,L,L,31,3,0,3,-3,50,0.1,2,2,1,1,0,0,0,24,12.5,7:21,66.7
Benjamin Simon,20032004,ATL,L,L,52,3,0,3,-10,28,0.06,3,3,0,0,0,0,0,30,10,6:05,33
Zdenek Blatny,20032004,ATL,L,L,16,3,0,3,0,6,0.19,3,3,0,0,0,0,0,17,17.6,10:27,38.5
Matt Hussey,20032004,PIT,L,C,3,2,1,3,-1,0,1,0,1,2,2,0,0,0,8,25,13:35,--
Jason Botterill,20032004,BUF,L,L,19,2,1,3,0,14,0.16,1,1,1,2,0,0,0,20,10,11:24,25
Brad Bombardir,20032004,"MIN,NSH",L,D,69,1,2,3,-9,25,0.04,1,3,0,0,0,0,1,47,2.1,20:00,--
Rob Scuderi,20032004,PIT,L,D,13,1,2,3,2,4,0.23,1,3,0,0,0,0,0,4,25,20:06,--
